name,attractiveness,intelligence,maintainance,is_committed,g_type,choose_type
Amroks,83,97,57,False,miser,m_rich
Drtles,82,4,96,False,generous,m_gen
Aqnqrq,11,71,1,False,miser,m_gen
Ekyiqm,42,84,32,False,miser,m_gen
Cwgdpp,11,36,86,False,generous,m_gen
Rmmumn,28,60,91,False,geeks,m_gen
Rzuktp,0,53,62,False,geeks,m_rich
Iwpmfd,79,92,84,False,miser,m_rich
Wizlrw,34,20,38,False,generous,m_attr
Upaobm,35,33,74,False,geeks,m_rich
Jcryca,38,81,95,False,miser,m_rich
Drsvhz,24,62,97,False,miser,m_rich
Iblxci,12,65,22,False,miser,m_gen
Nryqva,37,43,99,False,generous,m_gen
Pjwpdk,32,73,18,False,miser,m_attr
Cdnnoc,31,99,65,False,generous,m_rich
Kckrgu,52,93,5,False,miser,m_gen
Pehjkr,16,58,86,False,miser,m_attr
Vihetp,58,99,43,False,generous,m_gen
Wykalk,67,69,37,False,miser,m_gen
