name,attractiveness,intelligence,maintainance,is_committed,g_type,choose_type
Dczmwl,56,5,13,False,desperate,m_attr
Aiqlrn,84,84,2,False,desperate,m_gen
Axcdyg,91,71,3,False,choosy,m_attr
Wjfggj,31,51,31,False,choosy,m_attr
Dlhhjv,23,96,15,False,desperate,m_attr
Jzopuo,91,59,45,False,normal,m_attr
Pghhro,7,68,16,False,desperate,m_gen
Ijzwmp,33,79,25,False,desperate,m_attr
Qloeny,20,25,23,False,choosy,m_gen
Zdfewx,96,89,17,False,normal,m_gen
Lcrjde,84,93,46,False,normal,m_rich
Jbviaa,37,94,37,False,choosy,m_attr
