2017-02-26T23:07:30.969677,Wrsktp gifted Htgtsx a gift of type gift_utility worth 9
2017-02-26T23:07:30.969872,Wrsktp gifted Htgtsx a gift of type gift_essential worth 10
2017-02-26T23:07:30.969960,Wrsktp gifted Htgtsx a gift of type gift_luxury worth 12
2017-02-26T23:07:30.970032,Wrsktp gifted Htgtsx a gift of type gift_utility worth 13
2017-02-26T23:07:30.970102,Wrsktp gifted Htgtsx a gift of type gift_essential worth 13
2017-02-26T23:07:30.970173,*****************
2017-02-26T23:07:30.970600,Jcdhdz gifted Vheejo a gift of type gift_essential worth 17
2017-02-26T23:07:30.970678,Jcdhdz gifted Vheejo a gift of type gift_utility worth 14
2017-02-26T23:07:30.970748,*****************
2017-02-26T23:07:30.971106,Jcnuyv gifted Ptotzy a gift of type gift_utility worth 9
2017-02-26T23:07:30.971181,*****************
2017-02-26T23:07:30.971659,Eyuhxm gifted Iquisl a gift of type gift_utility worth 9
2017-02-26T23:07:30.971790,Eyuhxm gifted Iquisl a gift of type gift_essential worth 10
2017-02-26T23:07:30.971906,Eyuhxm gifted Iquisl a gift of type gift_luxury worth 12
2017-02-26T23:07:30.972017,Eyuhxm gifted Iquisl a gift of type gift_utility worth 13
2017-02-26T23:07:30.972130,*****************
2017-02-26T23:07:30.972746,Vwgvfh gifted Zrbzou a gift of type gift_utility worth 9
2017-02-26T23:07:30.972875,Vwgvfh gifted Zrbzou a gift of type gift_essential worth 10
2017-02-26T23:07:30.972988,Vwgvfh gifted Zrbzou a gift of type gift_luxury worth 12
2017-02-26T23:07:30.973097,*****************
2017-02-26T23:07:30.973667,Cuxtiz gifted Ykurte a gift of type gift_utility worth 9
2017-02-26T23:07:30.973791,*****************
2017-02-26T23:07:30.974370,Lnxmsp gifted Ytjffy a gift of type gift_utility worth 9
2017-02-26T23:07:30.974486,Lnxmsp gifted Ytjffy a gift of type gift_essential worth 10
2017-02-26T23:07:30.974600,Lnxmsp gifted Ytjffy a gift of type gift_luxury worth 12
2017-02-26T23:07:30.974712,Lnxmsp gifted Ytjffy a gift of type gift_utility worth 13
2017-02-26T23:07:30.974822,Lnxmsp gifted Ytjffy a gift of type gift_essential worth 13
2017-02-26T23:07:30.974930,*****************
2017-02-26T23:07:30.975567,*****************
2017-02-26T23:07:30.976172,*****************
2017-02-26T23:07:30.976783,*****************
2017-02-26T23:09:27.373358,Wrsktp gifted Htgtsx a gift of type gift_utility worth 9
2017-02-26T23:09:27.373497,Wrsktp gifted Htgtsx a gift of type gift_essential worth 10
2017-02-26T23:09:27.373582,Wrsktp gifted Htgtsx a gift of type gift_luxury worth 12
2017-02-26T23:09:27.373654,Wrsktp gifted Htgtsx a gift of type gift_utility worth 13
2017-02-26T23:09:27.373726,Wrsktp gifted Htgtsx a gift of type gift_essential worth 13
2017-02-26T23:09:27.373797,*****************
2017-02-26T23:09:27.374183,Jcdhdz gifted Vheejo a gift of type gift_essential worth 17
2017-02-26T23:09:27.374257,Jcdhdz gifted Vheejo a gift of type gift_utility worth 14
2017-02-26T23:09:27.374326,*****************
2017-02-26T23:09:27.374686,Jcnuyv gifted Ptotzy a gift of type gift_utility worth 9
2017-02-26T23:09:27.374763,*****************
2017-02-26T23:09:27.375124,Eyuhxm gifted Iquisl a gift of type gift_utility worth 9
2017-02-26T23:09:27.375199,Eyuhxm gifted Iquisl a gift of type gift_essential worth 10
2017-02-26T23:09:27.375270,Eyuhxm gifted Iquisl a gift of type gift_luxury worth 12
2017-02-26T23:09:27.375341,Eyuhxm gifted Iquisl a gift of type gift_utility worth 13
2017-02-26T23:09:27.375411,*****************
2017-02-26T23:09:27.375822,Vwgvfh gifted Zrbzou a gift of type gift_utility worth 9
2017-02-26T23:09:27.375895,Vwgvfh gifted Zrbzou a gift of type gift_essential worth 10
2017-02-26T23:09:27.375968,Vwgvfh gifted Zrbzou a gift of type gift_luxury worth 12
2017-02-26T23:09:27.376035,*****************
2017-02-26T23:09:27.376389,Cuxtiz gifted Ykurte a gift of type gift_utility worth 9
2017-02-26T23:09:27.376464,*****************
2017-02-26T23:09:27.376827,Lnxmsp gifted Ytjffy a gift of type gift_utility worth 9
2017-02-26T23:09:27.376902,Lnxmsp gifted Ytjffy a gift of type gift_essential worth 10
2017-02-26T23:09:27.377002,Lnxmsp gifted Ytjffy a gift of type gift_luxury worth 12
2017-02-26T23:09:27.377075,Lnxmsp gifted Ytjffy a gift of type gift_utility worth 13
2017-02-26T23:09:27.377146,Lnxmsp gifted Ytjffy a gift of type gift_essential worth 13
2017-02-26T23:09:27.377216,*****************
2017-02-26T23:09:27.377582,*****************
2017-02-26T23:09:27.377950,*****************
2017-02-26T23:09:27.378301,*****************
2017-02-26T23:09:27.378637,Zxthaw gifted Hqfsnc a gift of type gift_utility worth 9
2017-02-26T23:09:27.378710,*****************
2017-02-26T23:09:27.379081,Xvpikn gifted Hniimy a gift of type gift_utility worth 9
2017-02-26T23:09:27.379155,Xvpikn gifted Hniimy a gift of type gift_essential worth 10
2017-02-26T23:09:27.379222,*****************
2017-02-26T23:09:27.379593,Jxyotf gifted Elnjbm a gift of type gift_luxury worth 40
2017-02-26T23:09:27.379668,Jxyotf gifted Elnjbm a gift of type gift_essential worth 17
2017-02-26T23:09:27.379740,Jxyotf gifted Elnjbm a gift of type gift_utility worth 14
2017-02-26T23:09:27.379809,Jxyotf gifted Elnjbm a gift of type gift_essential worth 14
2017-02-26T23:09:27.379879,*****************
2017-02-26T23:09:27.380467,Hpchza gifted Vlqwhz a gift of type gift_utility worth 9
2017-02-26T23:09:27.380543,Hpchza gifted Vlqwhz a gift of type gift_essential worth 10
2017-02-26T23:09:27.380616,Hpchza gifted Vlqwhz a gift of type gift_luxury worth 12
2017-02-26T23:09:27.380688,Hpchza gifted Vlqwhz a gift of type gift_utility worth 13
2017-02-26T23:09:27.380753,*****************
