name,attractiveness,intelligence,maintainance,is_committed,g_type,choose_type
Irwyxp,33,22,8,False,normal,m_rich
Lumdhm,99,98,40,False,desperate,m_rich
Egtukf,50,51,44,False,choosy,m_gen
Jcsqzm,96,27,44,False,choosy,m_gen
Wsygkj,7,49,44,False,normal,m_attr
Mckhin,24,48,37,False,choosy,m_gen
Fcihon,14,96,18,False,desperate,m_rich
Iokain,90,94,10,False,normal,m_gen
Gxtodt,76,44,8,False,desperate,m_attr
Uoczma,98,74,30,False,choosy,m_attr
Bwcgbg,98,46,14,False,normal,m_gen
Cplorn,26,94,13,False,choosy,m_attr
Tmnzim,44,9,38,False,desperate,m_gen
Wrueuj,77,73,29,False,desperate,m_rich
Dxlcfb,66,81,5,False,normal,m_rich
