name,attractiveness,intelligence,maintainance,is_committed,g_type,choose_type
Ktlsob,2,72,34,False,normal,m_rich
Pscufn,1,99,35,False,normal,m_attr
Uguciu,63,90,37,False,normal,m_gen
Ffqray,82,96,17,False,normal,m_rich
Qiyhpp,40,4,16,False,desperate,m_rich
Obkotx,23,23,47,False,desperate,m_attr
Nwdrou,40,40,24,False,desperate,m_attr
Cwvzmy,15,34,8,False,desperate,m_attr
Hmniqu,34,64,29,False,choosy,m_attr
Mzxxsz,31,65,14,False,desperate,m_attr
Wrjbsg,11,21,31,False,desperate,m_gen
Rcyfpn,85,32,46,False,normal,m_rich
